name,jxsi,psc,pp,catsp,cs,cup,pop
Cubells,195,7,18,4,7,13,395
Cunit,1406,1129,698,677,1628,309,11989
Darnius,175,16,44,11,22,44,534
Das,88,2,4,1,11,24,220
Deltebre,3734,592,501,235,253,367,11831
Dosrius,1328,295,331,271,529,207,5137
Duesaigües,106,10,7,8,8,27,239
"Escala, l'",2324,507,277,163,527,433,10143
Esparreguera,4064,1963,913,1224,2488,1210,21685
Espinelves,108,3,2,1,4,26,196
"Espluga Calba, l'",169,11,21,6,7,39,395
"Espluga de Francolí, l'",1504,160,115,51,147,176,3836
Esplugues de Llobregat,6403,5353,3019,3088,6483,1575,46133
Espolla,165,21,10,6,23,33,417
Esponellà,220,4,4,10,7,23,458
Espot,164,15,5,2,7,9,357
"Espunyola, l'",140,3,8,5,0,17,259
"Esquirol, l'",1223,24,21,27,21,205,2188
Estamariu,76,3,0,1,2,3,119
"Estany, l'",240,17,5,6,5,23,407
Estaràs,78,2,16,2,12,14,176
Esterri d'Àneu,323,22,10,13,11,56,866
Esterri de Cardós,37,1,0,1,0,8,72
Falset,1164,135,60,32,62,142,2838
"Far d'Empordà, el",200,27,15,12,25,21,563
Farrera,46,1,3,2,2,31,125
"Fatarella, la",427,26,65,20,17,83,1051
"Febró, la",21,2,1,1,0,6,40
Figaró-Montmany,396,56,28,24,39,78,1096
Fígols,16,3,0,0,3,3,43
Fígols i Alinyà,117,13,6,1,7,23,260
"Figuera, la",59,2,2,0,3,12,118
Figueres,8180,1846,1918,912,3430,1454,45444
Figuerola del Camp,160,12,4,5,7,26,345
Flaçà,417,40,13,20,14,69,1041
Flix,1442,239,125,95,105,239,3795
"Floresta, la",81,1,2,1,2,11,162
Fogars de la Selva,275,92,83,80,221,48,1512
Fogars de Montclús,216,6,9,7,6,51,482
Foixà,138,8,1,6,16,37,320
Folgueroles,1224,36,14,27,30,141,2259
Fondarella,333,32,25,11,58,37,838
Fonollosa,574,70,46,47,78,98,1429
Fontanals de Cerdanya,210,8,28,9,23,24,443
Fontanilles,76,1,1,2,3,5,160
Fontcoberta,759,30,33,15,22,104,1442
Font-rubí,585,38,37,17,24,92,1353
Foradada,88,2,12,2,3,13,182
Forallac,794,44,36,40,91,103,1729
Forès,24,0,3,1,1,5,46
Fornells de la Selva,1206,38,49,34,166,121,2479
Fortià,238,36,27,11,52,39,710
"Franqueses del Vallès, les",3752,1272,703,853,2564,742,19170
Freginals,109,23,24,16,26,16,405
"Fuliola, la",460,43,72,13,20,76,1294
Fulleda,56,2,10,1,2,1,98
Gaià,90,1,2,0,3,10,163
"Galera, la",171,32,69,24,24,59,800
Gallifa,98,1,6,8,10,22,202
Gandesa,943,98,139,50,123,130,3091
Garcia,212,18,22,13,7,25,559
"Garidells, els",69,10,4,12,10,10,182
"Garriga, la",5394,766,507,460,1188,1078,15762
Garrigàs,179,4,6,4,18,40,398
Garrigoles,63,1,1,2,5,20,159
Garriguella,289,25,24,26,41,36,857
Gavà,6230,4835,2320,2947,6752,1504,46326
Gavet de la Conca,136,16,3,3,5,22,303
Gelida,1804,553,224,382,612,448,7194
Ger,202,1,14,1,20,18,432
Gimenells i el Pla de la Font,214,133,69,37,132,47,1129
Ginestar,355,27,15,12,8,36,819
Girona,26499,4718,3061,2437,6592,5059,97227
Gironella,2024,214,175,109,119,303,4987
Gisclareny,20,0,0,0,1,2,25
Godall,148,100,71,17,21,29,673
Golmés,707,36,49,28,80,58,1734
Gombrèn,77,8,12,2,5,16,195
Gósol,135,9,1,6,3,19,216
"Granada, la",799,112,62,70,102,107,2073
"Granadella, la",336,20,11,9,14,66,715
Granera,39,2,3,0,4,7,80
"Granja d'Escarp, la",312,42,39,22,93,31,972
Granollers,12952,4704,2409,2535,6413,2496,59930
Granyanella,57,3,12,2,6,11,147
Granyena de les Garrigues,74,2,3,2,7,16,162
Granyena de Segarra,66,1,5,4,9,9,136
Gratallops,80,9,19,8,8,24,243
Gualba,568,46,23,36,68,97,1429
Gualta,135,7,7,4,14,31,362
Guardiola de Berguedà,346,57,17,35,26,84,937
"Guiamets, els",116,20,14,12,4,47,292
Guils de Cerdanya,225,9,21,7,38,28,536
Guimerà,157,1,9,2,3,7,295
"Guingueta d'Àneu, la",145,9,7,5,6,28,317
Guissona,1346,167,100,88,207,192,6827
Guixers,73,1,7,1,4,10,128
Gurb,1417,33,49,18,53,122,2545
Horta de Sant Joan,423,45,127,23,27,64,1219
"Hospitalet de Llobregat, l'",23843,28947,14336,16855,29773,7528,253518
"Hostalets de Pierola, els",746,165,114,99,239,163,2942
Hostalric,1196,231,144,196,188,160,4010
Igualada,12258,1924,1452,1153,2887,1819,38751
Isona i Conca Dellà,467,30,30,22,36,41,1049
Isòvol,134,7,6,7,10,22,301
Ivars de Noguera,103,11,24,6,27,45,350
Ivars d'Urgell,697,56,47,16,47,80,1607
Ivorra,84,0,3,0,0,5,115
Jafre,185,8,4,6,11,36,396
"Jonquera, la",516,174,134,68,236,81,3115
Jorba,306,28,34,19,39,51,838
Josa i Tuixén,60,2,1,3,1,13,128
Juià,135,2,12,8,6,22,340
Juncosa,170,7,20,7,22,29,438
Juneda,1327,88,78,37,69,168,3497
Les,95,121,49,20,75,41,968
Linyola,1114,69,76,53,118,99,2677
"Llacuna, la",412,15,24,6,18,78,906
Lladó,328,14,20,16,10,56,767
Lladorre,120,5,0,5,4,25,232
Lladurs,86,0,11,3,10,14,195
"Llagosta, la",1077,1821,785,1136,1864,309,13430
Llagostera,2549,327,168,137,514,371,8198
Llambilles,368,24,17,11,24,27,738
Llanars,260,15,9,3,14,24,509
Llançà,1440,271,158,103,432,269,4970
Llardecans,252,10,23,4,16,17,497
Llavorsí,105,17,12,8,3,57,367
Lleida,27655,7633,6903,4149,12550,4972,139176
Llers,459,24,34,17,77,79,1242
Lles de Cerdanya,142,7,1,4,2,24,260
Lliçà d'Amunt,2772,1263,862,964,2089,581,14696
Lliçà de Vall,1359,480,434,442,918,232,6354
Llimiana,69,5,0,10,2,14,159
Llinars del Vallès,2578,564,447,350,942,544,9536
Llívia,512,37,43,10,106,58,1536
"Lloar, el",57,2,8,1,4,7,110
Llobera,116,2,6,1,1,9,201
Llorac,47,2,0,2,4,7,112
Llorenç del Penedès,797,79,51,85,174,138,2306
Lloret de Mar,4722,1983,1408,1168,3378,632,38624
"Llosses, les",92,0,6,5,2,22,211
Lluçà,117,0,10,3,0,55,257
Maçanet de Cabrenys,317,22,18,10,32,46,781
Maçanet de la Selva,1413,469,290,271,660,305,6963
Madremanya,112,2,5,2,7,38,283
Maià de Montcal,142,18,17,10,20,41,443
Maials,434,27,31,10,20,16,959
Maldà,114,9,5,3,6,18,227
Malgrat de Mar,4120,1580,774,800,1664,687,18417
Malla,155,1,13,2,5,19,266
Manlleu,6031,851,517,446,1215,783,20279
Manresa,21608,3771,2362,2123,5012,3454,75297
Marçà,232,13,6,14,12,65,611
Margalef,50,2,0,7,5,4,108
Marganell,114,10,7,9,3,22,297
Martorell,4256,2266,1094,1710,2982,988,27895
Martorelles,1016,408,214,371,639,223,4783
Masarac,118,8,3,2,1,20,284
Mas de Barberans,110,94,47,4,26,23,619
Masdenverge,408,51,58,18,83,36,1106
"Masies de Roda, les",402,20,14,9,15,34,737
"Masies de Voltregà, les",1358,178,100,54,130,179,3186
Masllorenç,196,23,13,9,11,26,519
"Masnou, el",6811,1107,989,1173,2111,1473,22742
"Masó, la",131,5,13,5,13,26,288
Maspujols,285,19,18,19,50,66,782
Masquefa,1616,650,410,540,1048,338,8406
"Masroig, el",218,24,23,13,3,33,534
Massalcoreig,199,22,23,15,9,12,560
Massanes,214,43,28,27,26,42,723
Massoteres,74,5,1,1,13,8,196
Matadepera,4079,110,349,91,595,278,8841
Mataró,23371,10010,5993,5831,14225,4490,124280
Mediona,604,142,83,97,97,204,2311
Menàrguens,364,18,27,22,18,32,887
Meranges,41,1,9,1,9,6,94
Mieres,120,5,6,2,13,58,326
"Milà, el",55,0,15,11,17,9,174
Miralcamp,584,60,23,30,52,39,1384
Miravet,302,38,14,13,12,43,774
Moià,2083,235,177,140,228,385,5760
"Molar, el",125,17,8,4,7,23,293
Molins de Rei,6851,2082,779,1385,2405,1572,25152
Mollerussa,3922,566,368,266,663,425,14963
Mollet del Vallès,7292,4967,2325,4461,6427,1708,51719
Mollet de Peralada,89,4,4,5,4,11,182
Molló,182,4,6,1,6,20,339
"Molsosa, la",55,0,11,2,2,7,116
Monistrol de Calders,268,30,24,13,28,93,695
Monistrol de Montserrat,821,239,131,89,142,144,2945
Montagut i Oix,421,9,16,22,12,85,970
Montblanc,2599,329,172,127,398,376,7359
Montbrió del Camp,930,56,97,75,198,132,2650
Montcada i Reixac,4601,3062,1607,3262,4486,1231,34394
Montclar,59,2,11,1,0,2,117
Montellà i Martinet,280,24,8,10,27,36,623
Montesquiu,392,32,11,19,17,68,895
Montferrer i Castellbò,365,33,25,22,39,69,1027
Montferri,89,25,17,25,38,15,369
Montgai,337,21,43,13,26,25,671
Montgat,2654,633,677,788,1417,598,11315
Montmajor,242,15,13,5,3,22,476
Montmaneu,72,0,8,0,10,3,164
"Montmell, el",150,137,85,67,196,52,1418
Montmeló,1214,1074,542,946,1093,400,8863
Montoliu de Lleida,208,9,12,8,20,33,515
Montoliu de Segarra,81,0,11,2,6,15,193
Montornès del Vallès,1771,1444,999,1459,2260,463,16217
Montornès de Segarra,53,4,7,0,3,6,105
Mont-ral,55,3,5,12,5,26,165
Mont-ras,542,122,77,51,183,67,1739
